                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8718,                 1.0175,                 1.2526,                0.77896,                0.61538,                 0.6967,                0.33271,                 1.8224,                0.94387,                 1.2349,              0.0015644,              0.0015644,              0.0015644
                     36,                 1.8598,                 1.0133,                 1.2514,                0.77777,                0.61713,                 0.7036,                0.33038,                 1.8293,                0.94139,                 1.2411,              0.0015512,              0.0015512,              0.0015512
                     37,                 1.8319,                 0.9863,                 1.2532,                0.78447,                0.59859,                0.69266,                0.33476,                 1.7983,                0.93726,                 1.2166,               0.001538,               0.001538,               0.001538
                     38,                 1.8704,                 1.0244,                 1.2539,                0.77045,                0.58971,                0.67992,                 0.3181,                 1.8409,                0.96307,                 1.2369,              0.0015248,              0.0015248,              0.0015248
                     39,                 1.8808,                 1.0192,                 1.2645,                0.79023,                0.61323,                0.70414,                0.33344,                 1.8093,                 0.9267,                 1.2336,              0.0015116,              0.0015116,              0.0015116
                     40,                 1.8407,                0.99277,                 1.2447,                 0.7853,                0.61277,                0.70176,                0.33677,                 1.8069,                0.92532,                 1.2275,              0.0014984,              0.0014984,              0.0014984
                     41,                 1.8484,                0.99288,                 1.2506,                0.79008,                0.61636,                0.70789,                0.33972,                 1.7909,                0.92789,                 1.2244,              0.0014852,              0.0014852,              0.0014852
                     42,                 1.8673,                 1.0123,                 1.2577,                0.77564,                 0.6144,                0.69742,                0.33198,                 1.8061,                0.94236,                 1.2408,               0.001472,               0.001472,               0.001472
                     43,                 1.8523,                0.99742,                  1.251,                0.79554,                0.61308,                0.69942,                0.33277,                 1.8247,                0.91514,                 1.2272,              0.0014588,              0.0014588,              0.0014588
                     44,                 1.8138,                0.97241,                 1.2359,                 0.8057,                0.62318,                0.71213,                0.34776,                 1.7692,                 0.8871,                 1.2102,              0.0014456,              0.0014456,              0.0014456
                     45,                 1.8145,                0.96347,                 1.2276,                0.79319,                0.61545,                0.70144,                0.33157,                 1.8247,                0.90251,                 1.2391,              0.0014324,              0.0014324,              0.0014324
                     46,                 1.8211,                0.97378,                 1.2292,                0.79698,                0.62774,                 0.7212,                0.35936,                 1.7294,                0.88926,                 1.1892,              0.0014192,              0.0014192,              0.0014192
                     47,                 1.8182,                0.97169,                 1.2341,                 0.7977,                0.59954,                0.69675,                0.34434,                 1.7473,                0.92236,                 1.2035,               0.001406,               0.001406,               0.001406
                     48,                 1.8443,                0.97024,                  1.239,                0.80017,                0.63366,                0.72455,                0.35903,                 1.7321,                0.89554,                 1.1982,              0.0013928,              0.0013928,              0.0013928
                     49,                 1.8229,                0.96002,                 1.2244,                 0.7912,                0.64289,                0.72457,                0.35458,                 1.7237,                 0.8911,                  1.198,              0.0013796,              0.0013796,              0.0013796
                     50,                 1.8041,                0.97004,                 1.2186,                0.79947,                0.61741,                0.71185,                0.34748,                 1.7642,                0.89572,                 1.2094,              0.0013664,              0.0013664,              0.0013664
                     51,                  1.818,                0.95709,                 1.2288,                0.79881,                0.62164,                0.71448,                0.35331,                 1.7395,                0.89688,                 1.1924,              0.0013532,              0.0013532,              0.0013532
                     52,                 1.7927,                0.94645,                 1.2117,                0.79981,                0.62592,                0.72031,                 0.3641,                 1.7066,                0.89328,                 1.1877,                0.00134,                0.00134,                0.00134
                     53,                 1.7866,                0.95694,                 1.2222,                0.80097,                0.62362,                0.71836,                 0.3499,                 1.7374,                0.89678,                 1.1999,              0.0013268,              0.0013268,              0.0013268
                     54,                 1.7762,                0.93808,                 1.2198,                0.80099,                0.63681,                0.72566,                0.35873,                 1.7126,                0.88833,                  1.192,              0.0013136,              0.0013136,              0.0013136
                     55,                 1.7739,                0.93582,                 1.2163,                0.80827,                0.63297,                0.72903,                 0.3616,                 1.7396,                0.88295,                  1.198,              0.0013004,              0.0013004,              0.0013004
                     56,                 1.7794,                0.93885,                 1.2099,                0.79994,                0.63465,                0.72755,                0.36071,                 1.7351,                0.87943,                 1.1879,              0.0012872,              0.0012872,              0.0012872
                     57,                  1.794,                0.95204,                  1.232,                0.78598,                0.61511,                0.71031,                0.35227,                 1.7308,                 0.9076,                 1.1938,               0.001274,               0.001274,               0.001274
                     58,                 1.7828,                0.92572,                 1.2228,                0.80459,                0.62108,                 0.7199,                0.36114,                 1.7262,                0.87089,                 1.1961,              0.0012608,              0.0012608,              0.0012608
                     59,                 1.7509,                0.93506,                 1.2012,                0.80503,                0.61894,                0.71969,                0.35877,                 1.7426,                0.86746,                 1.1938,              0.0012476,              0.0012476,              0.0012476
                     60,                 1.7475,                 0.9217,                 1.2113,                0.79846,                0.63933,                0.72498,                0.36332,                 1.7242,                0.87075,                 1.1961,              0.0012344,              0.0012344,              0.0012344
                     61,                 1.7908,                0.94165,                  1.207,                0.81292,                0.64282,                0.73753,                0.37822,                 1.6796,                0.84405,                 1.1678,              0.0012212,              0.0012212,              0.0012212
                     62,                 1.7352,                0.91653,                 1.1936,                0.82323,                0.63458,                0.73799,                 0.3769,                 1.6731,                0.84112,                 1.1721,               0.001208,               0.001208,               0.001208
                     63,                 1.7442,                 0.9217,                 1.1975,                0.80257,                0.64282,                0.73428,                0.37262,                 1.6825,                0.86102,                 1.1775,              0.0011948,              0.0011948,              0.0011948
                     64,                 1.7274,                0.91041,                 1.1936,                0.81515,                0.63291,                0.73431,                0.37567,                 1.6853,                0.83739,                 1.1726,              0.0011816,              0.0011816,              0.0011816
                     65,                 1.7348,                 0.9094,                 1.2061,                0.82592,                0.63954,                0.73775,                0.37432,                 1.6787,                0.84492,                 1.1804,              0.0011684,              0.0011684,              0.0011684
                     66,                 1.7379,                0.91407,                 1.1985,                  0.825,                0.63874,                0.73662,                0.37385,                 1.6777,                0.84934,                 1.1738,              0.0011552,              0.0011552,              0.0011552
                     67,                 1.7567,                0.91406,                 1.1989,                0.81626,                0.63737,                0.73373,                0.38215,                 1.6631,                0.83399,                 1.1645,               0.001142,               0.001142,               0.001142
                     68,                 1.7338,                0.90955,                 1.1922,                0.81369,                0.63809,                0.73688,                0.38321,                 1.6519,                 0.8389,                 1.1643,              0.0011288,              0.0011288,              0.0011288
                     69,                 1.7441,                0.90634,                  1.188,                 0.8072,                0.63652,                0.73321,                0.38112,                 1.6668,                0.86679,                 1.1675,              0.0011156,              0.0011156,              0.0011156
                     70,                 1.7073,                 0.8992,                 1.1979,                0.82977,                0.64233,                0.74686,                0.39692,                 1.6234,                0.81102,                 1.1478,              0.0011024,              0.0011024,              0.0011024
                     71,                   1.74,                0.90734,                 1.1944,                0.80974,                0.64721,                0.73756,                0.37863,                 1.6718,                0.84151,                 1.1674,              0.0010892,              0.0010892,              0.0010892
                     72,                 1.7223,                0.89349,                  1.194,                0.82198,                0.64868,                0.74874,                 0.3882,                 1.6454,                0.83924,                 1.1595,               0.001076,               0.001076,               0.001076
                     73,                 1.7409,                0.90368,                 1.1829,                0.82919,                0.64708,                0.74779,                0.39517,                 1.6195,                0.80536,                 1.1509,              0.0010628,              0.0010628,              0.0010628
                     74,                 1.7229,                0.91171,                 1.1847,                0.82034,                0.65217,                 0.7498,                0.39706,                  1.609,                0.81727,                 1.1497,              0.0010496,              0.0010496,              0.0010496
                     75,                 1.7193,                 0.9014,                 1.1861,                0.82369,                0.63788,                0.73834,                0.39081,                 1.6337,                0.80952,                 1.1494,              0.0010364,              0.0010364,              0.0010364
                     76,                 1.7297,                0.89393,                 1.1762,                 0.8397,                 0.6428,                0.74842,                0.39401,                 1.6281,                0.80515,                 1.1485,              0.0010232,              0.0010232,              0.0010232
                     77,                 1.7362,                0.90081,                 1.1903,                0.83484,                0.65119,                0.75108,                0.39686,                 1.6249,                0.80025,                  1.151,                0.00101,                0.00101,                0.00101
                     78,                 1.6831,                0.87791,                   1.17,                0.82875,                 0.6528,                0.75175,                0.40245,                 1.5988,                0.79336,                 1.1418,              0.0009968,              0.0009968,              0.0009968
                     79,                 1.6939,                0.88198,                 1.1925,                0.82563,                0.65399,                0.75222,                0.39811,                 1.6023,                0.80094,                 1.1408,              0.0009836,              0.0009836,              0.0009836
                     80,                 1.6882,                0.87702,                  1.176,                0.83621,                0.65301,                0.75598,                0.40869,                 1.5806,                0.79473,                 1.1355,              0.0009704,              0.0009704,              0.0009704
                     81,                 1.6864,                 0.8821,                 1.1781,                0.83952,                0.64998,                0.75485,                0.40554,                 1.5959,                0.79684,                 1.1354,              0.0009572,              0.0009572,              0.0009572
                     82,                 1.6803,                0.87312,                 1.1813,                0.83016,                0.64847,                  0.751,                0.40322,                 1.5766,                0.81715,                 1.1309,               0.000944,               0.000944,               0.000944
