                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6216,                0.83808,                 1.1603,                0.83451,                0.64631,                0.75275,                0.40581,                 1.5863,                0.78013,                 1.1277,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.6336,                0.84091,                 1.1528,                0.83946,                0.65908,                0.76379,                0.42216,                 1.5352,                0.76196,                 1.1172,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.6513,                0.84326,                 1.1553,                0.81822,                0.64924,                0.75136,                0.40046,                 1.5883,                0.81305,                 1.1347,               0.001769,               0.001769,               0.001769
                     38,                 1.6528,                0.83812,                 1.1685,                0.83156,                0.66162,                0.76063,                0.41699,                 1.5654,                0.76632,                 1.1234,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.6668,                 0.8547,                 1.1734,                0.82266,                0.67067,                0.76194,                0.41439,                 1.5577,                0.78707,                 1.1288,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.6516,                0.84625,                 1.1614,                0.83879,                0.66641,                 0.7661,                 0.4134,                 1.5758,                0.77512,                 1.1343,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.6471,                0.83148,                 1.1515,                0.83385,                0.66606,                0.76482,                0.41896,                 1.5544,                0.77845,                 1.1258,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.6366,                0.83977,                 1.1577,                0.83825,                0.66743,                0.76886,                0.42232,                 1.5445,                0.75276,                 1.1212,               0.001736,               0.001736,               0.001736
                     43,                 1.6498,                0.84549,                 1.1591,                0.82594,                0.62966,                 0.7359,                0.38313,                 1.6456,                0.79717,                 1.1536,              0.0017294,              0.0017294,              0.0017294
                     44,                 1.6221,                0.84503,                 1.1597,                0.83908,                0.65913,                0.76362,                0.40933,                 1.5729,                0.77298,                 1.1274,              0.0017228,              0.0017228,              0.0017228
