                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5672,                 1.8182,                  1.076,                0.94678,                0.28936,                0.59218,                 0.3557,                 1.4884,                 2.2622,                 1.0388,                0.00052,                0.00052,                0.00052
                      2,                 1.5865,                 1.0145,                 1.1175,                  0.822,                0.56478,                0.68223,                0.37024,                  1.629,                 1.4573,                 1.0741,               0.001053,               0.001053,               0.001053
                      3,                 1.6536,                   0.98,                 1.1379,                0.79048,                0.60457,                0.71452,                0.38859,                  1.592,                 1.0239,                 1.0949,              0.0015789,              0.0015789,              0.0015789
                      4,                 1.6627,                0.98887,                 1.1459,                0.78245,                0.60479,                0.69245,                0.34035,                 1.7692,                0.98411,                 1.1871,              0.0019604,              0.0019604,              0.0019604
                      5,                 1.7154,                 1.0074,                 1.1714,                0.78097,                0.59235,                0.67871,                0.33908,                  1.761,                 1.0558,                 1.1635,              0.0019604,              0.0019604,              0.0019604
                      6,                 1.6964,                0.97792,                 1.1574,                0.77234,                0.62018,                0.70062,                0.34215,                 1.7309,                0.96617,                  1.176,              0.0019472,              0.0019472,              0.0019472
                      7,                  1.708,                0.96997,                 1.1792,                0.81659,                0.62375,                0.72167,                0.37254,                 1.6606,                0.92798,                 1.1595,               0.001934,               0.001934,               0.001934
                      8,                 1.7356,                0.99392,                  1.182,                0.79254,                0.62292,                0.70983,                0.34584,                 1.7536,                0.98149,                 1.2169,              0.0019208,              0.0019208,              0.0019208
                      9,                 1.7188,                 0.9654,                  1.169,                0.80665,                0.64058,                0.73094,                0.37385,                 1.6616,                0.93191,                 1.1584,              0.0019076,              0.0019076,              0.0019076
                     10,                 1.7058,                0.96679,                  1.175,                0.80823,                0.63223,                0.72915,                0.37577,                 1.6761,                0.91631,                 1.1506,              0.0018944,              0.0018944,              0.0018944
                     11,                 1.7163,                0.95106,                 1.1747,                0.79623,                0.61644,                0.71121,                0.35056,                 1.7423,                0.96311,                  1.187,              0.0018812,              0.0018812,              0.0018812
                     12,                 1.6825,                0.93557,                 1.1762,                 0.8062,                0.62746,                0.72683,                0.36634,                 1.6931,                0.91549,                 1.1586,               0.001868,               0.001868,               0.001868
                     13,                 1.6933,                 0.9502,                 1.1746,                0.80294,                0.62983,                0.72324,                0.36865,                 1.6483,                0.92684,                 1.1644,              0.0018548,              0.0018548,              0.0018548
                     14,                 1.7017,                0.94421,                  1.168,                 0.7937,                0.62921,                0.72085,                0.36341,                 1.6534,                0.90451,                 1.1523,              0.0018416,              0.0018416,              0.0018416
                     15,                 1.7061,                 0.9328,                 1.1733,                0.80412,                0.63043,                 0.7321,                0.38392,                  1.631,                0.87011,                 1.1447,              0.0018284,              0.0018284,              0.0018284
                     16,                 1.6683,                0.93018,                 1.1617,                0.80154,                 0.6276,                0.72274,                0.36744,                 1.6764,                0.89651,                 1.1666,              0.0018152,              0.0018152,              0.0018152
                     17,                  1.707,                0.92768,                 1.1655,                0.82044,                0.64114,                0.74154,                0.39143,                  1.611,                0.85114,                  1.134,               0.001802,               0.001802,               0.001802
                     18,                 1.7109,                0.94017,                 1.1735,                0.81662,                0.63535,                0.72974,                0.36777,                 1.6697,                0.88063,                 1.1721,              0.0017888,              0.0017888,              0.0017888
                     19,                 1.6956,                 0.9365,                 1.1836,                0.82458,                0.64219,                0.74623,                0.38532,                 1.6373,                0.85776,                 1.1573,              0.0017756,              0.0017756,              0.0017756
                     20,                 1.6979,                0.90499,                 1.1707,                0.80746,                0.63653,                0.72912,                0.37617,                 1.6666,                0.86291,                  1.159,              0.0017624,              0.0017624,              0.0017624
                     21,                 1.6658,                0.89905,                 1.1623,                0.81972,                0.63779,                0.73745,                0.38028,                 1.6608,                0.86516,                 1.1544,              0.0017492,              0.0017492,              0.0017492
                     22,                  1.675,                0.89626,                 1.1618,                0.81321,                  0.644,                 0.7391,                0.37965,                 1.6555,                0.86574,                 1.1492,               0.001736,               0.001736,               0.001736
                     23,                  1.667,                  0.911,                 1.1645,                0.81652,                0.64023,                0.73447,                0.38734,                 1.6316,                0.83532,                 1.1541,              0.0017228,              0.0017228,              0.0017228
                     24,                 1.6941,                0.89559,                 1.1762,                0.81844,                0.63695,                0.73264,                0.37683,                  1.676,                 0.8367,                 1.1623,              0.0017096,              0.0017096,              0.0017096
                     25,                 1.6658,                0.89073,                 1.1701,                0.81893,                0.65096,                0.75138,                0.39586,                 1.5977,                0.84415,                   1.14,              0.0016964,              0.0016964,              0.0016964
                     26,                 1.6523,                0.88636,                 1.1554,                0.83221,                0.64812,                0.75172,                0.40751,                 1.5685,                0.80465,                 1.1184,              0.0016832,              0.0016832,              0.0016832
                     27,                 1.6742,                0.88809,                  1.159,                0.83285,                0.65319,                 0.7547,                0.40274,                 1.5677,                0.81946,                 1.1292,                0.00167,                0.00167,                0.00167
                     28,                   1.63,                0.87873,                  1.151,                0.82207,                0.64142,                 0.7418,                0.39161,                 1.6203,                0.84219,                 1.1406,              0.0016568,              0.0016568,              0.0016568
                     29,                 1.6586,                0.88125,                 1.1495,                0.81911,                0.64512,                0.74323,                0.39284,                 1.5907,                0.85667,                 1.1288,              0.0016436,              0.0016436,              0.0016436
                     30,                 1.6793,                0.88277,                 1.1571,                0.83235,                0.65936,                0.75885,                0.40271,                 1.6051,                0.82382,                  1.124,              0.0016304,              0.0016304,              0.0016304
                     31,                 1.6714,                0.87608,                 1.1461,                0.81627,                0.65713,                0.75159,                0.39914,                 1.6049,                0.83146,                 1.1325,              0.0016172,              0.0016172,              0.0016172
                     32,                 1.6701,                 0.8878,                 1.1632,                0.81748,                0.63493,                0.73365,                0.38498,                 1.6515,                0.82921,                  1.139,               0.001604,               0.001604,               0.001604
                     33,                 1.6221,                0.86102,                 1.1412,                0.82627,                0.65112,                0.75204,                0.40699,                  1.564,                0.82387,                  1.123,              0.0015908,              0.0015908,              0.0015908
                     34,                 1.6317,                0.88098,                 1.1458,                 0.8274,                0.65468,                0.75527,                0.41456,                 1.5618,                0.78717,                 1.1201,              0.0015776,              0.0015776,              0.0015776
                     35,                  1.652,                0.87716,                 1.1561,                0.82865,                0.66638,                0.76506,                0.41286,                 1.5621,                0.79005,                 1.1159,              0.0015644,              0.0015644,              0.0015644
                     36,                  1.629,                0.86532,                 1.1445,                 0.8329,                0.66606,                 0.7612,                0.41707,                 1.5362,                 0.7983,                 1.1105,              0.0015512,              0.0015512,              0.0015512
                     37,                 1.5927,                0.84464,                 1.1412,                 0.8351,                0.64952,                0.75923,                0.41709,                 1.5507,                0.79474,                 1.1021,               0.001538,               0.001538,               0.001538
                     38,                 1.6234,                0.86785,                 1.1404,                0.83467,                0.64205,                0.74828,                0.40603,                  1.546,                0.80317,                 1.1105,              0.0015248,              0.0015248,              0.0015248
                     39,                 1.6548,                0.86808,                 1.1568,                0.82977,                0.66551,                0.75936,                0.40126,                 1.5932,                0.80337,                 1.1287,              0.0015116,              0.0015116,              0.0015116
                     40,                 1.6177,                 0.8481,                 1.1442,                0.83486,                0.66271,                0.76022,                0.41807,                 1.5511,                0.79045,                 1.1133,              0.0014984,              0.0014984,              0.0014984
                     41,                 1.6302,                0.85827,                  1.149,                0.83595,                 0.6602,                0.75816,                0.40805,                 1.5754,                0.78876,                 1.1265,              0.0014852,              0.0014852,              0.0014852
                     42,                 1.6386,                0.86114,                 1.1528,                 0.8351,                0.65238,                0.75594,                0.41782,                  1.543,                 0.7807,                 1.1161,               0.001472,               0.001472,               0.001472
                     43,                 1.6145,                0.85193,                 1.1427,                0.84836,                0.64687,                0.75326,                 0.4135,                 1.5564,                0.77749,                 1.1144,              0.0014588,              0.0014588,              0.0014588
                     44,                 1.5865,                0.83274,                 1.1327,                0.85189,                0.66348,                0.77056,                 0.4294,                 1.5056,                0.76492,                  1.094,              0.0014456,              0.0014456,              0.0014456
                     45,                 1.5833,                0.83519,                 1.1265,                0.84349,                0.66059,                0.76411,                0.41376,                 1.5567,                0.76347,                 1.1132,              0.0014324,              0.0014324,              0.0014324
                     46,                  1.611,                0.83806,                 1.1333,                0.83447,                0.66509,                0.76788,                0.42966,                 1.5039,                0.75921,                 1.0912,              0.0014192,              0.0014192,              0.0014192
